lilly_id,nct_id,title,phase,lead_sponsor,start_date,doc_type,filename,status,local_path,timestamp
L0U-MC-OL01,NCT07571174,A Substudy of LY4256984 in Participants With Sporadic Amyotrophic Lateral Sclerosis,Phase 1,Eli Lilly and Company,2026-05,N/A,N/A,no_documents,,2026-06-15T12:17:39.710584
22-422,NCT05617885,Neo-DAB: Darolutamide and Abemaciclib in Prostate Cancer,Phase 1,"Praful Ravi, MB BCHir, MRCP",2023-08-09,N/A,N/A,no_documents,,2026-06-15T12:17:39.710689
TJ-SSc202203,NCT05300932,A Study Evaluating the Efficacy and Safety of Baricitinib in Systemic Sclerosis,Phase 4,Tongji Hospital,2022-03-08,N/A,N/A,no_documents,,2026-06-15T12:17:39.710766
I6T-MC-AMAZ,NCT04844606,A Master Protocol (AMAZ): A Study of Mirikizumab (LY3074828) in Pediatric Participants With Ulcerative Colitis or Crohn's Disease (SHINE-ON),Phase 3,Eli Lilly and Company,2021-05-26,N/A,N/A,no_documents,,2026-06-15T12:17:39.710840
J2N-MC-JZNZ,NCT06721013,A Study of Pirtobrutinib in Participants With Immune Thrombocytopenia,Phase 1/Phase 2,Eli Lilly and Company,2025-07-30,N/A,N/A,no_documents,,2026-06-15T12:17:39.710946
J2A-MC-GZPI,NCT06440980,A Study to Compare Tablets and Capsules of Orforglipron (LY3502970) in Healthy Participants Who Are Obese or Overweight,Phase 1,Eli Lilly and Company,2024-06-24,N/A,N/A,no_documents,,2026-06-15T12:17:39.711030
J2R-MC-YAAC,NCT05444569,A Study of LY3537021 in Healthy Participants,Phase 1,Eli Lilly and Company,2022-08-08,N/A,N/A,no_documents,,2026-06-15T12:17:39.711122
J2A-MC-GZGV,NCT06192108,A Study of Orforglipron (LY3502970) Compared With Dapagliflozin in Adult Participants With Type 2 Diabetes and Inadequate Glycemic Control With Metformin,Phase 3,Eli Lilly and Company,2024-01-10,N/A,N/A,no_documents,,2026-06-15T12:17:39.711199
J1I-MC-GZBY,NCT06354660,Effect of Retatrutide Compared With Placebo in Adult Participants With Type 2 Diabetes and Inadequate Glycemic Control With Diet and Exercise Alone (TRANSCEND-T2D-1),Phase 3,Eli Lilly and Company,2024-04-10,N/A,N/A,no_documents,,2026-06-15T12:17:39.711282
NCI-2020-03813,NCT04481113,Abemaciclib and Niraparib Before Surgery for the Treatment of Hormone Receptor Positive HER2 Negative Breast Cancer,Phase 1,OHSU Knight Cancer Institute,2021-06-07,N/A,N/A,no_documents,,2026-06-15T12:17:39.711385
J4S-MC-KSAA,NCT06395012,A First-In-Human Study of LY3985297 in Healthy Participants,Phase 1,Eli Lilly and Company,2024-06-07,N/A,N/A,no_documents,,2026-06-15T12:17:39.711446
J3R-MC-YDAF,NCT07282600,"A Study of Eloralintide (LY3841136) in Participants With Obesity or Overweight, and Type 2 Diabetes",Phase 3,Eli Lilly and Company,2025-12-15,N/A,N/A,no_documents,,2026-06-15T12:17:39.711510
J2A-MC-GZGQ,NCT05872620,A Study of Orforglipron in Adult Participants With Obesity or Overweight and Type 2 Diabetes,Phase 3,Eli Lilly and Company,2023-06-05,N/A,N/A,no_documents,,2026-06-15T12:17:39.711598
J2T-MC-KGBI,NCT05559359,A Study of Lebrikizumab (LY3650150) in Participants 6 Months to <18 Years of Age With Moderate-to-Severe Atopic Dermatitis,Phase 3,Eli Lilly and Company,2022-10-18,N/A,N/A,no_documents,,2026-06-15T12:17:39.711689
J2J-MC-JZLK,NCT05509816,A Study of Imlunestrant (LY3484356) in Healthy Women,Phase 1,Eli Lilly and Company,2022-09-12,Prot,Prot_000.pdf,downloaded,lilly_trial_docs/J2J-MC-JZLK_12SEP2022/Prot_Prot_000.pdf,2026-06-15T12:17:41.295420
J2J-MC-JZLK,NCT05509816,A Study of Imlunestrant (LY3484356) in Healthy Women,Phase 1,Eli Lilly and Company,2022-09-12,SAP,SAP_001.pdf,downloaded,lilly_trial_docs/J2J-MC-JZLK_12SEP2022/SAP_SAP_001.pdf,2026-06-15T12:17:42.416568
UPCC 27522,NCT05853887,Liquid Biopsy Based NGS in Newly Diagnosed NSCLC,N/A,Charu Aggarwal,2023-06-15,Prot,Prot_001.pdf,downloaded,lilly_trial_docs/UPCC_27522_15JUN2023/Prot_Prot_001.pdf,2026-06-15T12:17:43.889673
UPCC 27522,NCT05853887,Liquid Biopsy Based NGS in Newly Diagnosed NSCLC,N/A,Charu Aggarwal,2023-06-15,Prot_SAP,Prot_SAP_000.pdf,downloaded,lilly_trial_docs/UPCC_27522_15JUN2023/Prot_SAP_Prot_SAP_000.pdf,2026-06-15T12:17:44.952078
UPCC 27522,NCT05853887,Liquid Biopsy Based NGS in Newly Diagnosed NSCLC,N/A,Charu Aggarwal,2023-06-15,SAP,SAP_002.pdf,downloaded,lilly_trial_docs/UPCC_27522_15JUN2023/SAP_SAP_002.pdf,2026-06-15T12:17:45.972732
J3H-MC-GZNJ,NCT07232732,A Study of LY3549492 in Healthy Participants and Participants With Overweight or Obesity,Phase 1,Eli Lilly and Company,2025-10-27,N/A,N/A,no_documents,,2026-06-15T12:17:45.973179
I3Y-MC-JPCY,NCT04408924,Abemaciclib (LY2835219) in Men With Heavily Treated Metastatic Castration-Resistant Prostate Cancer,Phase 2,Eli Lilly and Company,2021-01-20,Prot,Prot_000.pdf,downloaded,lilly_trial_docs/I3Y-MC-JPCY_20JAN2021/Prot_Prot_000.pdf,2026-06-15T12:17:47.623335
I3Y-MC-JPCY,NCT04408924,Abemaciclib (LY2835219) in Men With Heavily Treated Metastatic Castration-Resistant Prostate Cancer,Phase 2,Eli Lilly and Company,2021-01-20,SAP,SAP_001.pdf,downloaded,lilly_trial_docs/I3Y-MC-JPCY_20JAN2021/SAP_SAP_001.pdf,2026-06-15T12:17:49.105256
2024-5148,NCT05974579,Safety and Dosimetry of a New Radiotracer to Detect Misfolded SOD1 Associated With Amyotrophic Lateral Sclerosis,Phase 1,Université de Sherbrooke,2023-11-23,N/A,N/A,no_documents,,2026-06-15T12:17:49.105762
NICHOL INT 124/23,NCT06594679,A Study of Niraparib in Combination With Abemaciclib for Late Line Treatment of Ovarian Cancer (NICHOL TRIAL),Phase 1/Phase 2,"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",2024-09-26,N/A,N/A,no_documents,,2026-06-15T12:17:49.105916
H9X-IN-GBGR,NCT05659537,A Study of Dulaglutide (LY2189265) in Participants With Type 2 Diabetes Mellitus in India,Phase 4,Eli Lilly and Company,2022-12-29,Prot,Prot_002.pdf,downloaded,lilly_trial_docs/H9X-IN-GBGR_29DEC2022/Prot_Prot_002.pdf,2026-06-15T12:17:50.131290
H9X-IN-GBGR,NCT05659537,A Study of Dulaglutide (LY2189265) in Participants With Type 2 Diabetes Mellitus in India,Phase 4,Eli Lilly and Company,2022-12-29,SAP,SAP_001.pdf,downloaded,lilly_trial_docs/H9X-IN-GBGR_29DEC2022/SAP_SAP_001.pdf,2026-06-15T12:17:51.142403
H0P-MC-NP07,NCT07285018,A Chronic Pain Master Protocol (CPMP): A Study of LY4065967 in Participants With Diabetic Peripheral Neuropathic Pain,Phase 2,Eli Lilly and Company,2026-02-16,N/A,N/A,no_documents,,2026-06-15T12:17:51.142869
J1I-MC-GZQB,NCT06859268,A Study of Retatrutide (LY3437943) in the Maintenance of Weight Reduction in Individuals With Obesity,Phase 3,Eli Lilly and Company,2025-03-05,N/A,N/A,no_documents,,2026-06-15T12:17:51.143069
J5B-MC-FHAG,NCT05896527,A Study to Evaluate the Efficacy and Safety of DC-806 in Participants With Moderate to Severe Plaque Psoriasis,Phase 2,"DICE Therapeutics, Inc., a wholly owned subsidiary of Eli Lilly and Company",2023-05-02,Prot,Prot_000.pdf,downloaded,lilly_trial_docs/J5B-MC-FHAG_02MAY2023/Prot_Prot_000.pdf,2026-06-15T12:17:53.997619
J5B-MC-FHAG,NCT05896527,A Study to Evaluate the Efficacy and Safety of DC-806 in Participants With Moderate to Severe Plaque Psoriasis,Phase 2,"DICE Therapeutics, Inc., a wholly owned subsidiary of Eli Lilly and Company",2023-05-02,SAP,SAP_001.pdf,downloaded,lilly_trial_docs/J5B-MC-FHAG_02MAY2023/SAP_SAP_001.pdf,2026-06-15T12:17:55.379540
J3E-MC-EZDC,NCT06598631,Efficacy and Safety of Volenrelaxin in Adults With Chronic Kidney Disease,Phase 2,Eli Lilly and Company,2024-10-09,N/A,N/A,no_documents,,2026-06-15T12:17:55.380102
DCE806104,NCT06092931,A Drug-Drug Interaction Study Evaluating the Perpetrator Potential of DC-806 on Cocktails of CYP450 Enzyme and Transporter Substrates in Healthy Participants,Phase 1,"DICE Therapeutics, Inc., a wholly owned subsidiary of Eli Lilly and Company",2023-10-16,N/A,N/A,no_documents,,2026-06-15T12:17:55.380245
J5Z-MC-OTAA,NCT07046559,"A Single- and Multiple-Ascending Dose Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of LY4066708 in Healthy Participants",Phase 1,Eli Lilly and Company,2025-05-13,N/A,N/A,no_documents,,2026-06-15T12:17:55.380350
I8F-MC-GPHE,NCT05433584,A Study of Tirzepatide Compared With Intensified Conventional Care in Adult Participants With Type 2 Diabetes,Phase 4,Eli Lilly and Company,2022-08-01,N/A,N/A,no_documents,,2026-06-15T12:17:55.380443
J1I-MC-GZBV,NCT06039826,A Study of LY3437943 in Postmenopausal Female Participants Who Are Overweight or Obese,Phase 1,Eli Lilly and Company,2023-09-12,N/A,N/A,no_documents,,2026-06-15T12:17:55.380557
J5S-MC-CEAA,NCT07090785,A Study of LY4088044 in Healthy Participants,Phase 1,Eli Lilly and Company,2025-07-24,N/A,N/A,no_documents,,2026-06-15T12:17:55.380647
J6E-MC-KWAM,NCT07415044,LY4268989 in Adults With Moderately to Severely Active Ulcerative Colitis,Phase 2,Eli Lilly and Company,2026-03-26,N/A,N/A,no_documents,,2026-06-15T12:17:55.380747
J5C-MC-FOAB,NCT06602219,A Study of LY4100511 (DC-853) in Adult Participants With Moderate-to-Severe Plaque Psoriasis,Phase 2,"DICE Therapeutics, Inc., a wholly owned subsidiary of Eli Lilly and Company",2024-10-25,N/A,N/A,no_documents,,2026-06-15T12:17:55.380934
1745146,NCT05457998,BioFINDER-Brown: Examination of Alzheimer's Disease Biomarkers,N/A (Observational),Butler Hospital,2023-06-14,N/A,N/A,no_documents,,2026-06-15T12:17:55.381054
I9X-MC-MTAF,NCT05749848,A Study of Carbon-14-Labelled [14C] LY3372689 in Healthy Male Participants,Phase 1,Eli Lilly and Company,2023-02-24,N/A,N/A,no_documents,,2026-06-15T12:17:55.381127
I3Y-MC-JPEH,NCT06413706,A Study Comparing Abemaciclib Plus Temozolomide to Temozolomide Monotherapy in Children and Young Adults With High-grade Glioma Following Radiotherapy,Phase 2,Eli Lilly and Company,2024-10-25,N/A,N/A,no_documents,,2026-06-15T12:17:55.381227
J5B-MC-FHAB,NCT06808815,A Study to Assess S011806 (DC-806 or LY4100504) in Healthy Adult Participants and Participants With Chronic Plaque Psoriasis,Phase 1,"DICE Therapeutics, Inc., a wholly owned subsidiary of Eli Lilly and Company",2021-09-22,N/A,N/A,no_documents,,2026-06-15T12:17:55.381325
J2A-JE-GZPM,NCT06692348,A Study of Orforglipron (LY3502970) to Compare a Single Capsule and Multiple Capsules in Healthy Participants,Phase 1,Eli Lilly and Company,2024-12-13,N/A,N/A,no_documents,,2026-06-15T12:17:55.381423
J5A-OX-JZWA,NCT06238479,"A Study of LY4101174 in Participants With Recurrent, Advanced or Metastatic Solid Tumors",Phase 1,Eli Lilly and Company,2024-03-05,N/A,N/A,no_documents,,2026-06-15T12:17:55.381511
J2S-MC-GZMS,NCT07545759,A Study of Brenipatide (LY3537031) in Participants With Irritable Bowel Syndrome-Diarrhea (IBS-D),Phase 2,Eli Lilly and Company,2026-05-06,N/A,N/A,no_documents,,2026-06-15T12:17:55.381645
J5D-MC-FPAB,NCT06690996,A Study of LY4005130 in Healthy Participants,Phase 1,Eli Lilly and Company,2024-11-08,N/A,N/A,no_documents,,2026-06-15T12:17:55.381772
I1F-IN-RHCZ,NCT05855967,A Study of Ixekizumab (LY2439821) in Participants Aged ≥18 Years With Moderate-to-Severe Plaque or Active Psoriatic Arthritis in India,Phase 4,Eli Lilly and Company,2023-06-27,Prot,Prot_000.pdf,downloaded,lilly_trial_docs/I1F-IN-RHCZ_27JUN2023/Prot_Prot_000.pdf,2026-06-15T12:17:56.548329
I1F-IN-RHCZ,NCT05855967,A Study of Ixekizumab (LY2439821) in Participants Aged ≥18 Years With Moderate-to-Severe Plaque or Active Psoriatic Arthritis in India,Phase 4,Eli Lilly and Company,2023-06-27,SAP,SAP_001.pdf,downloaded,lilly_trial_docs/I1F-IN-RHCZ_27JUN2023/SAP_SAP_001.pdf,2026-06-15T12:17:57.696447
J1I-MC-GZQJ,NCT07232719,A Study of Retatrutide (LY3437943) in Participants With Obesity or Overweight,Phase 3,Eli Lilly and Company,2025-11-17,N/A,N/A,no_documents,,2026-06-15T12:17:57.696829
I4L-MC-YCAA,NCT04864977,A Study of A Novel Approach to Titrate Basal Insulin (LY2963016) in Participants With Type 2 Diabetes,Phase 4,Eli Lilly and Company,2021-08-16,N/A,N/A,no_documents,,2026-06-15T12:17:57.696968
I3Y-MC-JPEF,NCT05169567,Abemaciclib (LY2835219) Plus Fulvestrant Compared to Placebo Plus Fulvestrant in Previously Treated Breast Cancer,Phase 3,Eli Lilly and Company,2022-03-11,Prot,Prot_000.pdf,downloaded,lilly_trial_docs/I3Y-MC-JPEF_11MAR2022/Prot_Prot_000.pdf,2026-06-15T12:17:59.154084
I3Y-MC-JPEF,NCT05169567,Abemaciclib (LY2835219) Plus Fulvestrant Compared to Placebo Plus Fulvestrant in Previously Treated Breast Cancer,Phase 3,Eli Lilly and Company,2022-03-11,SAP,SAP_001.pdf,downloaded,lilly_trial_docs/I3Y-MC-JPEF_11MAR2022/SAP_SAP_001.pdf,2026-06-15T12:18:00.764928
J3O-MC-LSBA,NCT05292040,A Study of LY3857210 in Healthy Participants,Phase 1,Eli Lilly and Company,2022-03-17,N/A,N/A,no_documents,,2026-06-15T12:18:00.765516
PSCI-18-052,NCT04003896,A Study to Evaluate Abemaciclib in Advanced Biliary Tract Carcinoma,Phase 2,Milton S. Hershey Medical Center,2021-09-24,Prot_SAP,Prot_SAP_000.pdf,downloaded,lilly_trial_docs/PSCI-18-052_24SEP2021/Prot_SAP_Prot_SAP_000.pdf,2026-06-15T12:18:02.168517
J3S-MC-YEAA,NCT05380323,A Study of LY3541105 in Healthy and Overweight Participants,Phase 1,Eli Lilly and Company,2022-05-10,N/A,N/A,no_documents,,2026-06-15T12:18:02.169246
